id,claim_topic,evidence_text,stance,source,url
17,Can laser irradiation of blood by infusion needle (hemolaser treatment) relieve discomfort or help with diseases?,Claim: Can laser irradiation of blood by infusion needle (hemolaser treatment) relieve discomfort or help with diseases? | Finding: There is no scientific evidence that hemolaser treatment has a palliative or curative effect on health problems.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/haemolaser/
18,"In everyday life, when breathing with an FFP2 mask or ordinary mouth-nose protection, do you get as much oxygen as without a mask?","Claim: In everyday life, when breathing with an FFP2 mask or ordinary mouth-nose protection, do you get as much oxygen as without a mask? | Finding: Even if breathing with a mask can feel uncomfortable: According to studies to date, you get just as much oxygen with an FFP2 mask or mouth-nose protection as without a mask. This is true even when you are moving or exerting yourself. Only very intensive sports slightly reduce the oxygen content in the blood - but too little to endanger health.",supports,Medizin Transparent,https://www.medizin-transparent.at/maske-sauerstoff/
19,Can CBD help with period pain?,Claim: Can CBD help with period pain? | Finding: Whether CBD can relieve menstrual pain has apparently never been scientifically studied. We could not find any studies on this. Women who suffer from severe period pain should talk to a gynecologist about it. Diseases such as endometriosis could be behind it.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/cbd-regelschmerzen/
20,"Can a bioresonance device like ""Bioscan"" or ""Vieva Vital Analyser"" measure mineral and vitamin deficiencies or detect health problems?","Claim: Can a bioresonance device like ""Bioscan"" or ""Vieva Vital Analyser"" measure mineral and vitamin deficiencies or detect health problems? | Finding: An experiment shows that the devices cannot distinguish between healthy people, seriously ill people and a corpse. The claimed mode of action behind the measurement method is also scientifically implausible. A German court has convicted the manufacturers of the Bioscan device (not legally binding) of fraud.",refutes,Medizin Transparent,https://www.medizin-transparent.at/bioscan/
21,Does arthroscopy (joint endoscopy) help with osteoarthritis of the knee joint?,Claim: Does arthroscopy (joint endoscopy) help with osteoarthritis of the knee joint? | Finding: The data are clear: Arthroscopy is useless as a treatment for knee osteoarthritis. It can neither relieve pain nor improve the function of the knee joint in the long term.,refutes,Medizin Transparent,https://www.medizin-transparent.at/arthroskopie-arthrose/
22,"Do dietary supplements containing silicon (e.g. as ""organic silicon"" or silica) have health benefits?","Claim: Do dietary supplements containing silicon (e.g. as ""organic silicon"" or silica) have health benefits? | Finding: There is no evidence so far that the additional intake of silicon can promote health. Also that it strengthens nails, skin and hair is an unsubstantiated claim. Moreover, it is unclear whether silicon plays any role at all in the body.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/silizium/
23,Can regular intake of cranberry juice or cranberry extract prevent recurrent cystitis in women?,"Claim: Can regular intake of cranberry juice or cranberry extract prevent recurrent cystitis in women? | Finding: Women who repeatedly have to deal with bladder infections might become ill somewhat less frequently if they regularly take cranberry juice or extract. However, this is not well established. And it only applies to uncomplicated bladder infections in otherwise healthy women. Whether cranberry products help when cystitis is already present remains unclear. This has not yet been investigated in meaningful studies.",supports,Medizin Transparent,https://www.medizin-transparent.at/cranberry-blasenentzuendung/
24,Will women who have recurrent bladder infections get rid of them faster if they take cranberry products only after the disease is already there???,"Claim: Will women who have recurrent bladder infections get rid of them faster if they take cranberry products only after the disease is already there??? | Finding: Women who repeatedly have to deal with bladder infections might become ill somewhat less frequently if they regularly take cranberry juice or extract. However, this is not well established. And it only applies to uncomplicated bladder infections in otherwise healthy women. Whether cranberry products help when cystitis is already present remains unclear. This has not yet been investigated in meaningful studies.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/cranberry-blasenentzuendung/
25,Can extract from St. John's wort relieve the symptoms of depression? Is it similarly effective as drugs against depression (antidepressants)?,Claim: Can extract from St. John's wort relieve the symptoms of depression? Is it similarly effective as drugs against depression (antidepressants)? | Finding: St. John's wort is likely to relieve the symptoms of mild to moderate depression better than a placebo. It also appears to be similarly effective to approved medications for depression (antidepressants). St. John's wort preparations are generally better tolerated than antidepressants.,supports,Medizin Transparent,https://www.medizin-transparent.at/johanniskraut-depression/
26,"Does the Zisano bracelet strengthen the immune system, increase endurance and performance or reduce fatigue?","Claim: Does the Zisano bracelet strengthen the immune system, increase endurance and performance or reduce fatigue? | Finding: The promised positive effects of the ""Powerband"" wristband on health and well-being have apparently not been scientifically studied. We could not find any studies on this. It is also unclear how the wristband is supposed to work in concrete terms. A scientifically plausible explanation is missing.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/zisano/
27,"Does microimmunotherapy improve symptoms of allergies, cancer, joint inflammation, autoimmune diseases, dementia or various viral infections?","Claim: Does microimmunotherapy improve symptoms of allergies, cancer, joint inflammation, autoimmune diseases, dementia or various viral infections? | Finding: So far, studies seem to exist only on microimmunotherapy against hay fever and cancer. Their significance is far too low to conclude that the therapy is effective. We found no studies on other health problems. Thus, there is no proven benefit of microimmunotherapy for any disease.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/mikroimmuntherapie-hilfe-gegen-krebs-und-mehr/
28,Can ginkgo extract improve mental performance in dementia patients?,Claim: Can ginkgo extract improve mental performance in dementia patients? | Finding: Previous studies suggest that ginkgo extract can improve mental performance in dementia - but this is not well established. It is not possible to say exactly how large this effect is.,supports,Medizin Transparent,https://www.medizin-transparent.at/ginkgo-demenz/
29,Does pine wood improve sleep?,"Claim: Does pine wood improve sleep? | Finding: So far, only one small study has investigated this question. However, the results of this study are not conclusive due to numerous deficiencies in the conduct of the study.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/zirbenholz-waldgeruch-als-schlafhilfe/
30,Do spermidine supplements or a spermidine-rich diet reduce the risk of Alzheimer's disease and other forms of dementia? Do they help with existing dementia?,"Claim: Do spermidine supplements or a spermidine-rich diet reduce the risk of Alzheimer's disease and other forms of dementia? Do they help with existing dementia? | Finding: Manufacturers of spermidine drugs advertise an alleged positive effect on mental performance and protection against dementia. However, such an effect has not been proven in meaningful studies. We found a single study in which dementia patients had participated. However, their results are not very clear.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/spermidin-demenz/
31,Do green-lipped mussel preparations improve the symptoms of rheumatoid arthritis?,"Claim: Do green-lipped mussel preparations improve the symptoms of rheumatoid arthritis? | Finding: Five small studies provide no overall evidence of benefit from green-lipped mussel in rheumatism. However, the rheumatism treatment of the participants does not meet today's standards and the studies were very poorly conducted. Therefore, we cannot draw any reliable conclusions from these studies.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/gruenlippmuschel-rheuma/
32,Does covid vaccination reduce the likelihood of getting long-lasting symptoms (long covid) in case of corona infection?,"Claim: Does covid vaccination reduce the likelihood of getting long-lasting symptoms (long covid) in case of corona infection? | Finding: If twice-vaccinated people are infected, their risk of later being affected by Long Covid may be only half that of non-vaccinated people. Since there is no clear definition of long covid, the protective effect cannot be precisely quantified.",supports,Medizin Transparent,https://www.medizin-transparent.at/long-covid-impfung/
33,Can the preventive intake of lysine prevent cold sores (lip herpes) and genital herpes? Can lysine help when the blisters are already there?,Claim: Can the preventive intake of lysine prevent cold sores (lip herpes) and genital herpes? Can lysine help when the blisters are already there? | Finding: Research is coming up with inconclusive and contradictory results. All available studies are small and of unclear quality. We could not say whether lysine protects against herpes or can alleviate it.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/lysin-herpes/
34,"Do hormonal contraceptives to swallow (the ""pill"") affect endurance performance in women?","Claim: Do hormonal contraceptives to swallow (the ""pill"") affect endurance performance in women? | Finding: Taking the pill could possibly impair endurance performance in sports somewhat. However, there are no indications of less muscle strength due to the pill. However, these - somewhat contradictory - findings are anything but certain. Whether the somewhat reduced endurance performance speaks against contraception with the pill, each athlete must decide for herself - depending on how important top athletic performance is for her.",supports,Medizin Transparent,https://www.medizin-transparent.at/pille-sport/
35,Does the pill affect the muscle strength of women??,"Claim: Does the pill affect the muscle strength of women?? | Finding: Taking the pill could possibly impair endurance performance in sports somewhat. However, there are no indications of less muscle strength due to the pill. However, these - somewhat contradictory - findings are anything but certain. Whether the somewhat reduced endurance performance speaks against contraception with the pill, each athlete must decide for herself - depending on how important top athletic performance is for her.",refutes,Medizin Transparent,https://www.medizin-transparent.at/pille-sport/
36,Does whole-body cryotherapy in the cold chamber improve health?,"Claim: Does whole-body cryotherapy in the cold chamber improve health? | Finding: Studies published so far are of low quality and therefore not conclusive. The effectiveness of the cold chamber has not been proven for either physical or psychological complaints. There is also no evidence of effectiveness in sports, for example for sore muscles or for a hoped-for increase in athletic performance.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/kaeltekammer/
37,Does transcranial pulse stimulation (TPS) improve mental performance in people with Alzheimer's dementia? Can the treatment improve the quality of life of those affected?,Claim: Does transcranial pulse stimulation (TPS) improve mental performance in people with Alzheimer's dementia? Can the treatment improve the quality of life of those affected? | Finding: Whether transcranial pulse stimulation can help people with Alzheimer's dementia has not yet been investigated in meaningful studies. Possible harmful effects have also been insufficiently researched.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/transkranielle-pulsstimuation-bei-alzheimer/
38,Can low-level laser therapy reduce pain from knee or hip osteoarthritis?,"Claim: Can low-level laser therapy reduce pain from knee or hip osteoarthritis? | Finding: In the pain treatment of wrist osteoarthritis, no efficacy can be assumed - this is indicated by the results of a small but well-done study. Research results on knee osteoarthritis are contradictory and therefore of little significance. We did not find any reliable studies on hip osteoarthritis.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/lasertherapie-arthrose/
39,Can low-level laser therapy reduce wrist osteoarthritis pain?,"Claim: Can low-level laser therapy reduce wrist osteoarthritis pain? | Finding: In the pain treatment of wrist osteoarthritis, no efficacy can be assumed - this is indicated by the results of a small but well-done study. Research results on knee osteoarthritis are contradictory and therefore of little significance. We did not find any reliable studies on hip osteoarthritis.",refutes,Medizin Transparent,https://www.medizin-transparent.at/lasertherapie-arthrose/
40,Does blood type affect the likelihood that Covid 19 disease will take a severe course or lead to death?,Claim: Does blood type affect the likelihood that Covid 19 disease will take a severe course or lead to death? | Finding: There is no reliable evidence that people with a certain blood group are more severely affected by covid-19 than those with another. Study results on this are poorly substantiated and partly contradictory.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/blutgruppe-corona/
41,"Do mouth rinses with hydroxyapatite, for example the products ""Linola sept mouth rinse"" and ""Karex Abwehr"", protect against SARS-CoV-2 infection?","Claim: Do mouth rinses with hydroxyapatite, for example the products ""Linola sept mouth rinse"" and ""Karex Abwehr"", protect against SARS-CoV-2 infection? | Finding: There are no studies on the anti-corona effect of hydroxyapatite-containing mouth rinses such as ""Linola sept"" or ""Karex Abwehr"". We found no studies on the products themselves or on the alleged active ingredient hydroxyapatite. The claimed mechanism of action is not plausible.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/linola-sept-mundspuelung-karex-abwehr/
42,Does CBD (cannabidiol) relieve symptoms of mild to moderate covid-19 disease?,"Claim: Does CBD (cannabidiol) relieve symptoms of mild to moderate covid-19 disease? | Finding: CBD is unlikely to have any effect on the symptoms of covid-19 disease. This is the conclusion of the only study that has investigated this. However, its validity is somewhat limited due to the small number of participants. Not explored is a possible preventive effect. It is unclear whether CBD or other cannabis constituents - ingested or smoked - protect against corona infection or covid-19 disease.",refutes,Medizin Transparent,https://www.medizin-transparent.at/cannabis-cbd-corona/
43,Does CBD or cannabis use protect against covid-19 disease???,"Claim: Does CBD or cannabis use protect against covid-19 disease??? | Finding: CBD is unlikely to have any effect on the symptoms of covid-19 disease. This is the conclusion of the only study that has investigated this. However, its validity is somewhat limited due to the small number of participants. Not explored is a possible preventive effect. It is unclear whether CBD or other cannabis constituents - ingested or smoked - protect against corona infection or covid-19 disease.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/cannabis-cbd-corona/
44,Do sedatives and sleeping pills such as benzodiazepines and related substances increase the risk of Alzheimer's disease or other forms of dementia?,"Claim: Do sedatives and sleeping pills such as benzodiazepines and related substances increase the risk of Alzheimer's disease or other forms of dementia? | Finding: A link between the long-term use of sedatives and sleeping pills and the development of dementia cannot be ruled out. However, whether the drugs are the cause of dementia is unclear. Likewise, it is possible that studies show a connection only because people in the undiagnosed early stages of dementia suffer more frequently from sleep disorders or restlessness and therefore take medication against them more often.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/schlafmittel-alzheimer/
45,"Does taking polyunsaturated fatty acids, such as omega-3 and omega-6, reduce ADHD symptoms in children?","Claim: Does taking polyunsaturated fatty acids, such as omega-3 and omega-6, reduce ADHD symptoms in children? | Finding: Studies to date suggest that supplements containing polyunsaturated fatty acids (for example, omega-3 and omega-6 fatty acids) tend not to have a noticeable effect on attention deficit hyperactivity disorder (ADHD). However, the quality of the studies is not sufficient to provide definitive answers.",refutes,Medizin Transparent,https://www.medizin-transparent.at/adhs-omega-3-omega-6/
46,Do infusions of vitamin C relieve symptoms of chronic fatigue or long covid?,Claim: Do infusions of vitamin C relieve symptoms of chronic fatigue or long covid? | Finding: Whether vitamin C infusions help with chronic fatigue syndrome (CFS) is questionable. This has not yet been scientifically investigated. We also could not find a single study on vitamin C and fatigue occurring in the context of Long Covid.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/vitamin-c-fatigue-long-covid/
47,Does taking probiotics shorten the duration of acute infectious diarrhea?,"Claim: Does taking probiotics shorten the duration of acute infectious diarrhea? | Finding: According to current studies, the duration of disease cannot be reduced by taking probiotics. This assessment is reasonably well supported.",refutes,Medizin Transparent,https://www.medizin-transparent.at/probiotika-durchfall/
48,Does high-dose vitamin D slow down the course of disease in multiple sclerosis (MS)?,"Claim: Does high-dose vitamin D slow down the course of disease in multiple sclerosis (MS)? | Finding: We can neither clearly exclude nor confirm that there is an effect. In a total of 15 studies, no benefit could be demonstrated for high-dose vitamin D in adults with multiple sclerosis. Because the studies had many weaknesses, we cannot draw any conclusions about positive or negative effects.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/multiple-sklerose-vitamin-d/
49,Does taking taiga root extract strengthen the immune system? Can it make vaccinations more effective or tolerable?,Claim: Does taking taiga root extract strengthen the immune system? Can it make vaccinations more effective or tolerable? | Finding: The alleged immune-strengthening effect of taiga root (also called Siberian ginseng) has apparently never been investigated in appropriate studies. The positive effect claimed by dietary supplement manufacturers after vaccinations is also not proven.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/taigawurzel-immunsystem/
50,"Can ozone therapy, in which autologous blood is treated with ozone and recycled, favorably influence the course of COVID-19 disease?","Claim: Can ozone therapy, in which autologous blood is treated with ozone and recycled, favorably influence the course of COVID-19 disease? | Finding: The few studies on this subject have gross deficiencies and are therefore not conclusive. Their results do not provide any evidence of efficacy of ozone therapy.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/ozontherapie-covid-19/
51,Does dimenhydrinate relieve travel nausea better than a placebo?,"Claim: Does dimenhydrinate relieve travel nausea better than a placebo? | Finding: The best available studies on the subject are unfortunately not conclusive, for example because they were quite small and the publications lack many details for traceability.  Therefore, we can neither prove nor exclude an effect.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/reiseuebelkeit-dimenhydrinat/
52,Does dimenhydrinate relieve travel nausea as well as the proven drug scopolamine???,"Claim: Does dimenhydrinate relieve travel nausea as well as the proven drug scopolamine??? | Finding: The best available studies on the subject are unfortunately not conclusive, for example because they were quite small and the publications lack many details for traceability.  Therefore, we can neither prove nor exclude an effect.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/reiseuebelkeit-dimenhydrinat/
53,Does short-term fasting improve quality of life in cancer?,Claim: Does short-term fasting improve quality of life in cancer? | Finding: We found only three very small studies on both questions. Their results are so unreliable that we cannot make any assessment. So we cannot say whether the quality of life of those affected is improved and whether fasting during chemotherapy reduces side effects.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/chemotherapie-fasten/
54,Does short-term fasting reduce the side effects of chemotherapy for cancer???,Claim: Does short-term fasting reduce the side effects of chemotherapy for cancer??? | Finding: We found only three very small studies on both questions. Their results are so unreliable that we cannot make any assessment. So we cannot say whether the quality of life of those affected is improved and whether fasting during chemotherapy reduces side effects.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/chemotherapie-fasten/
55,Are extracts of Artemisa annua (annual mugwort) or the active ingredient artemisinin obtained from it effective against coronavirus?,"Claim: Are extracts of Artemisa annua (annual mugwort) or the active ingredient artemisinin obtained from it effective against coronavirus? | Finding: To date, only one study can be found that investigated Artemisia treatment in mild covid-19 progression. However, due to numerous shortcomings, the results are not conclusive. It has not been studied whether Artemisia helps or prevents severe covid 19 disease or whether the plant can prevent coronavirus infection.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/artemisia-coronavirus/
56,Can zinc mitigate the progression of Covid-19?,Claim: Can zinc mitigate the progression of Covid-19? | Finding: The results of two studies on this suggest that sufferers with Covid-19 do not recover more quickly with zinc than without. A preventive effect has not yet been investigated in studies.,refutes,Medizin Transparent,https://www.medizin-transparent.at/zink-corona/
57,Does zinc preventively protect against covid-19 disease???,Claim: Does zinc preventively protect against covid-19 disease??? | Finding: The results of two studies on this suggest that sufferers with Covid-19 do not recover more quickly with zinc than without. A preventive effect has not yet been investigated in studies.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/zink-corona/
58,Does a cold spray with trypsin protect against colds or covid-19? Does the spray reduce symptoms and duration of illness?,Claim: Does a cold spray with trypsin protect against colds or covid-19? Does the spray reduce symptoms and duration of illness? | Finding: The question was investigated in two small studies with gross deficiencies. They cannot prove that treatment with the cold spray relieves symptoms or shortens the duration of illness. Whether the spray has a preventive effect has not been researched for either colds or Covid-19.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/erkaeltungsspray/
59,"Does injecting low-dose Corona vaccine into the skin (mesotherapy vaccination, microvaccination) protect against Covid-19 as well as proven full-dose vaccination into muscle?","Claim: Does injecting low-dose Corona vaccine into the skin (mesotherapy vaccination, microvaccination) protect against Covid-19 as well as proven full-dose vaccination into muscle? | Finding: Some doctors offer corona vaccination using the so-called mesotherapeutic method. Here, vaccination is administered into the skin instead of into the upper arm muscle, with a fraction of the tested and approved dose. Such applications have not been explored for the Corona vaccines. Effective protection against Covid-19 is not assured.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/mesotherapie-impfung-corona/
60,Do herbal remedies with nasturtium and horseradish (Kren) prevent recurrent cystitis?,"Claim: Do herbal remedies with nasturtium and horseradish (Kren) prevent recurrent cystitis? | Finding: As for prevention, we have found only one small but somewhat reliable study. According to this, nasturtium-horseradish remedies probably cannot prevent cystitis. For the treatment of cystitis, we were also only able to evaluate one study. However, it leaves too many questions unanswered to be able to clearly assess its effectiveness.",refutes,Medizin Transparent,https://www.medizin-transparent.at/blasenentzuendung-kapuzinerkresse-meerrettich/
61,Do herbal remedies with nasturtium and horseradish alleviate the symptoms of cystitis as well as an antibiotic???,"Claim: Do herbal remedies with nasturtium and horseradish alleviate the symptoms of cystitis as well as an antibiotic??? | Finding: As for prevention, we have found only one small but somewhat reliable study. According to this, nasturtium-horseradish remedies probably cannot prevent cystitis. For the treatment of cystitis, we were also only able to evaluate one study. However, it leaves too many questions unanswered to be able to clearly assess its effectiveness.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/blasenentzuendung-kapuzinerkresse-meerrettich/
62,Does mistletoe therapy help against cancer or can it improve the quality of life of cancer patients?,"Claim: Does mistletoe therapy help against cancer or can it improve the quality of life of cancer patients? | Finding: Mistletoe therapy for cancer has been investigated in some studies. However, these are very poor and come to inconsistent results. They cannot prove that mistletoe therapy is effective. In addition, there is a suspicion that mistletoe preparations may even stimulate tumor growth in some types of cancer.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/misteltherapie-krebs/
63,Can homeopathic remedies prevent colds in children?,"Claim: Can homeopathic remedies prevent colds in children? | Finding: Well-conducted studies find neither a preventive nor an alleviating effect of homeopathy on children's colds (chills). However, these studies have examined too few children for a truly conclusive result. Larger studies would be needed for a clear answer.  It is not scientifically plausible that homeopathic remedies are effective.",refutes,Medizin Transparent,https://www.medizin-transparent.at/kinder-erkaeltung-homoeopathie/
64,Can homeopathic remedies relieve colds in children??,"Claim: Can homeopathic remedies relieve colds in children?? | Finding: Well-done studies find neither a preventive nor an alleviating effect of homeopathy on children's colds (chills). However, these studies have examined too few children for a truly conclusive result. Larger studies would be needed for a clear answer.  It is not scientifically plausible that homeopathic remedies are effective.",refutes,Medizin Transparent,https://www.medizin-transparent.at/kinder-erkaeltung-homoeopathie/
65,Do agents containing uridine and/or cytidine improve the symptoms of polyneuropathy?,Claim: Do agents containing uridine and/or cytidine improve the symptoms of polyneuropathy? | Finding: We have not been able to find any meaningful studies on this question.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/uridin-cytidin-polyneuropathie/
66,Can treatments with ultrasound relieve the pain of osteoarthritis?,"Claim: Can treatments with ultrasound relieve the pain of osteoarthritis? | Finding: A number of studies have investigated whether ultrasound can help with osteoarthritis of the knee joints. However, their results are not conclusive; the study results are too contradictory to make a definite statement. For osteoarthritis of the hip or hands, this has not been investigated at all.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/ultraschall-arthrose/
67,Does regular exercise reduce the severity and duration of colds and other respiratory infections?,"Claim: Does regular exercise reduce the severity and duration of colds and other respiratory infections? | Finding: Previous studies suggest that sports-playing people may be just as likely to have respiratory infections as sports-muffle people. However, the illnesses are likely to be somewhat less severe and a bit shorter overall.",supports,Medizin Transparent,https://www.medizin-transparent.at/sport-immunsystem/
